#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC1	ABCG2	9606.ENSP00000382342	9606.ENSP00000498246	0	0	0	0	0.057	0.100	0	0.968	0.971
APP	BACE1	9606.ENSP00000284981	9606.ENSP00000318585	0	0	0	0	0.073	0.860	0.750	0.999	0.999
AR	CCND1	9606.ENSP00000363822	9606.ENSP00000227507	0	0	0	0	0.072	0.738	0	0.831	0.955
AR	MDM2	9606.ENSP00000363822	9606.ENSP00000258149	0	0	0	0	0	0.920	0	0.979	0.998
AR	STAT3	9606.ENSP00000363822	9606.ENSP00000264657	0	0	0	0	0.048	0.626	0	0.761	0.907
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.439	0	0.838	0.905
AR	HSP90AA1	9606.ENSP00000363822	9606.ENSP00000335153	0	0	0	0	0.054	0.901	0.900	0.990	0.999
AR	ESR1	9606.ENSP00000363822	9606.ENSP00000405330	0	0	0	0.651	0.172	0	0	0.978	0.981
AR	CTNNB1	9606.ENSP00000363822	9606.ENSP00000495360	0	0	0	0	0.052	0.888	0	0.968	0.996
BAD	MAPK1	9606.ENSP00000378040	9606.ENSP00000215832	0	0	0	0	0.060	0	0.900	0.195	0.917
BAD	MAPK3	9606.ENSP00000378040	9606.ENSP00000263025	0	0	0	0	0.101	0	0.900	0.305	0.932
BAD	BCL2L1	9606.ENSP00000378040	9606.ENSP00000365230	0	0	0	0	0.102	0.999	0.900	0.964	0.999
BAD	MAPK8	9606.ENSP00000378040	9606.ENSP00000378974	0	0	0	0	0	0.497	0.900	0.255	0.959
BAD	BCL2	9606.ENSP00000378040	9606.ENSP00000381185	0	0	0	0	0.063	0.908	0.900	0.926	0.999
BAX	TP53	9606.ENSP00000293288	9606.ENSP00000269305	0	0	0	0	0.080	0.782	0.900	0.774	0.994
BAX	HK2	9606.ENSP00000293288	9606.ENSP00000290573	0	0	0	0	0.057	0	0.900	0.213	0.919
BAX	BCL2	9606.ENSP00000293288	9606.ENSP00000381185	0	0	0	0.641	0	0.991	0.900	0.972	0.999
BAX	BCL2L1	9606.ENSP00000293288	9606.ENSP00000365230	0	0	0	0.639	0.082	0.999	0.900	0.882	0.999
BAX	MCL1	9606.ENSP00000293288	9606.ENSP00000358022	0	0	0	0.618	0.049	0.987	0.900	0.915	0.999
BCL2	MAPK1	9606.ENSP00000381185	9606.ENSP00000215832	0	0	0	0	0.086	0.292	0.900	0.586	0.969
BCL2	CCND1	9606.ENSP00000381185	9606.ENSP00000227507	0	0	0	0	0.052	0	0	0.957	0.958
BCL2	CTSD	9606.ENSP00000381185	9606.ENSP00000236671	0	0	0	0	0	0	0.900	0.514	0.949
BCL2	MDM2	9606.ENSP00000381185	9606.ENSP00000258149	0	0	0	0	0.056	0	0	0.953	0.953
BCL2	MAPK3	9606.ENSP00000381185	9606.ENSP00000263025	0	0	0	0	0.067	0	0.900	0.852	0.985
BCL2	STAT3	9606.ENSP00000381185	9606.ENSP00000264657	0	0	0	0	0	0.056	0.750	0.840	0.959
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0.103	0.869	0.900	0.999	0.999
BCL2	SOD1	9606.ENSP00000381185	9606.ENSP00000270142	0	0	0	0	0	0.329	0.900	0.976	0.998
BCL2	CASP3	9606.ENSP00000381185	9606.ENSP00000311032	0	0	0	0	0.098	0.354	0	0.980	0.987
BCL2	CASP9	9606.ENSP00000381185	9606.ENSP00000330237	0	0	0	0	0.091	0.125	0	0.938	0.946
BCL2	HSP90AA1	9606.ENSP00000381185	9606.ENSP00000335153	0	0	0	0	0.060	0.510	0	0.859	0.929
BCL2	CASP8	9606.ENSP00000381185	9606.ENSP00000351273	0	0	0	0	0.086	0.648	0	0.954	0.984
BCL2	PARP1	9606.ENSP00000381185	9606.ENSP00000355759	0	0	0	0	0.112	0.292	0	0.879	0.917
BCL2	XIAP	9606.ENSP00000381185	9606.ENSP00000360242	0	0	0	0	0.048	0.299	0	0.933	0.951
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000365230	0	0	0	0.894	0	0.863	0.900	0.984	0.999
BCL2	MAPK8	9606.ENSP00000381185	9606.ENSP00000378974	0	0	0	0	0.094	0.287	0.900	0.713	0.979
BCL2	HIF1A	9606.ENSP00000381185	9606.ENSP00000437955	0	0	0	0	0	0.510	0	0.895	0.946
BCL2	MYC	9606.ENSP00000381185	9606.ENSP00000478887	0	0	0	0	0.065	0.300	0	0.937	0.955
BCL2L1	CTSD	9606.ENSP00000365230	9606.ENSP00000236671	0	0	0	0	0.074	0	0.900	0.344	0.934
BCL2L1	STAT3	9606.ENSP00000365230	9606.ENSP00000264657	0	0	0	0	0.055	0.095	0.750	0.790	0.949
BCL2L1	TP53	9606.ENSP00000365230	9606.ENSP00000269305	0	0	0	0	0.074	0.986	0	0.998	0.999
BCL2L1	CASP3	9606.ENSP00000365230	9606.ENSP00000311032	0	0	0	0	0.044	0.209	0	0.940	0.950
BCL2L1	CASP9	9606.ENSP00000365230	9606.ENSP00000330237	0	0	0	0	0.082	0.822	0	0.959	0.992
BCL2L1	CASP8	9606.ENSP00000365230	9606.ENSP00000351273	0	0	0	0	0.042	0.510	0	0.869	0.933
BCL2L1	MCL1	9606.ENSP00000365230	9606.ENSP00000358022	0	0	0	0.620	0.049	0.362	0.900	0.845	0.989
BCL2L1	XIAP	9606.ENSP00000365230	9606.ENSP00000360242	0	0	0	0	0.082	0.051	0	0.936	0.939
BCL2L1	MAPK8	9606.ENSP00000365230	9606.ENSP00000378974	0	0	0	0	0.057	0.678	0.900	0.593	0.986
BIRC5	TP53	9606.ENSP00000301633	9606.ENSP00000269305	0	0	0	0	0.143	0	0.750	0.703	0.930
BIRC5	CASP9	9606.ENSP00000301633	9606.ENSP00000330237	0	0	0	0	0.124	0.728	0	0.658	0.911
BIRC5	CASP3	9606.ENSP00000301633	9606.ENSP00000311032	0	0	0	0	0.132	0.583	0	0.786	0.916
BIRC5	CCNA2	9606.ENSP00000301633	9606.ENSP00000481380	0	0	0	0	0.857	0	0	0.707	0.956
BIRC5	XIAP	9606.ENSP00000301633	9606.ENSP00000360242	0	0	0	0	0	0.735	0	0.855	0.960
CASP3	MAPK1	9606.ENSP00000311032	9606.ENSP00000215832	0	0	0	0	0.100	0.045	0.900	0.599	0.961
CASP3	MDM2	9606.ENSP00000311032	9606.ENSP00000258149	0	0	0	0	0.066	0.832	0	0.803	0.966
CASP3	MAPK3	9606.ENSP00000311032	9606.ENSP00000263025	0	0	0	0	0.067	0.045	0.900	0.858	0.985
CASP3	TP53	9606.ENSP00000311032	9606.ENSP00000269305	0	0	0	0	0.093	0.292	0	0.937	0.956
CASP3	MCL1	9606.ENSP00000311032	9606.ENSP00000358022	0	0	0	0	0.091	0.354	0	0.861	0.911
CASP3	PRKCB	9606.ENSP00000311032	9606.ENSP00000496129	0	0	0	0	0.104	0	0.900	0.301	0.931
CASP3	TNF	9606.ENSP00000311032	9606.ENSP00000398698	0	0	0	0	0.098	0.096	0	0.932	0.939
CASP3	MAPK8	9606.ENSP00000311032	9606.ENSP00000378974	0	0	0	0	0.049	0.292	0	0.922	0.943
CASP3	PRKCA	9606.ENSP00000311032	9606.ENSP00000408695	0	0	0	0	0.089	0	0.900	0.480	0.948
CASP3	CTNNB1	9606.ENSP00000311032	9606.ENSP00000495360	0	0	0	0	0.088	0.395	0.750	0.782	0.965
CASP3	CDKN1A	9606.ENSP00000311032	9606.ENSP00000384849	0	0	0	0	0.057	0.828	0.900	0.806	0.996
CASP3	CASP8	9606.ENSP00000311032	9606.ENSP00000351273	0	0	0.088	0.828	0.105	0.786	0.900	0.983	0.999
CASP3	XIAP	9606.ENSP00000311032	9606.ENSP00000360242	0	0	0	0	0.069	0.998	0.900	0.998	0.999
CASP3	PARP1	9606.ENSP00000311032	9606.ENSP00000355759	0	0	0	0	0.064	0.867	0.900	0.953	0.999
CASP3	CASP9	9606.ENSP00000311032	9606.ENSP00000330237	0	0	0	0.827	0.049	0.846	0.900	0.957	0.999
CASP8	IL1B	9606.ENSP00000351273	9606.ENSP00000263341	0	0	0	0	0.081	0.320	0.500	0.839	0.943
CASP8	TP53	9606.ENSP00000351273	9606.ENSP00000269305	0	0	0	0	0.086	0.292	0.900	0.879	0.991
CASP8	CASP9	9606.ENSP00000351273	9606.ENSP00000330237	0	0	0	0.700	0.104	0.628	0.540	0.678	0.944
CASP8	CHUK	9606.ENSP00000351273	9606.ENSP00000359424	0	0	0	0	0.093	0.311	0.500	0.861	0.950
CASP8	XIAP	9606.ENSP00000351273	9606.ENSP00000360242	0	0	0	0	0.085	0.676	0	0.909	0.970
CASP8	TNF	9606.ENSP00000351273	9606.ENSP00000398698	0	0	0	0	0.101	0.994	0	0.928	0.999
CASP9	TP53	9606.ENSP00000330237	9606.ENSP00000269305	0	0	0	0	0.067	0	0	0.952	0.953
CASP9	PARP1	9606.ENSP00000330237	9606.ENSP00000355759	0	0	0	0	0.049	0.091	0.900	0.915	0.991
CASP9	XIAP	9606.ENSP00000330237	9606.ENSP00000360242	0	0	0	0	0.085	0.997	0.900	0.998	0.999
CAT	SOD1	9606.ENSP00000241052	9606.ENSP00000270142	0.115	0	0	0	0.155	0.250	0.792	0.425	0.920
CAV1	KDR	9606.ENSP00000339191	9606.ENSP00000263923	0	0	0	0	0.071	0.301	0	0.947	0.962
CAV1	ICAM1	9606.ENSP00000339191	9606.ENSP00000264832	0	0	0	0	0.074	0	0	0.932	0.934
CAV1	EGFR	9606.ENSP00000339191	9606.ENSP00000275493	0	0	0	0	0.206	0.882	0.800	0.986	0.999
CAV1	GJA1	9606.ENSP00000339191	9606.ENSP00000282561	0	0	0	0	0.165	0.329	0.400	0.908	0.965
CAV1	NOS3	9606.ENSP00000339191	9606.ENSP00000297494	0	0	0	0	0.044	0.736	0.800	0.995	0.999
CAV1	HSP90AA1	9606.ENSP00000339191	9606.ENSP00000335153	0	0	0	0	0.075	0.292	0.800	0.920	0.988
CAV1	CTNNB1	9606.ENSP00000339191	9606.ENSP00000495360	0	0	0	0	0.043	0.514	0	0.886	0.942
CAV1	ESR2	9606.ENSP00000339191	9606.ENSP00000343925	0	0	0	0	0.053	0.049	0.500	0.945	0.971
CAV1	DPP4	9606.ENSP00000339191	9606.ENSP00000353731	0	0	0	0	0.058	0	0	0.991	0.991
CAV1	ESR1	9606.ENSP00000339191	9606.ENSP00000405330	0	0	0	0	0.053	0.624	0.500	0.992	0.998
CCL2	SERPINE1	9606.ENSP00000225831	9606.ENSP00000223095	0	0	0	0	0.259	0	0	0.895	0.918
CCL2	VCAM1	9606.ENSP00000225831	9606.ENSP00000294728	0	0	0	0	0.209	0.096	0	0.880	0.907
CCL2	IL4	9606.ENSP00000225831	9606.ENSP00000231449	0	0	0	0	0.045	0	0.400	0.873	0.921
CCL2	ICAM1	9606.ENSP00000225831	9606.ENSP00000264832	0	0	0	0	0.360	0	0	0.892	0.928
CCL2	CXCL2	9606.ENSP00000225831	9606.ENSP00000427279	0	0	0	0	0.451	0	0.400	0.803	0.929
CCL2	IL1A	9606.ENSP00000225831	9606.ENSP00000263339	0	0	0	0	0.144	0	0.400	0.882	0.934
CCL2	IFNG	9606.ENSP00000225831	9606.ENSP00000229135	0	0	0	0	0.195	0	0	0.926	0.938
CCL2	IL10	9606.ENSP00000225831	9606.ENSP00000412237	0	0	0	0	0.214	0	0.400	0.929	0.963
CCL2	CXCL10	9606.ENSP00000225831	9606.ENSP00000305651	0	0	0	0	0.373	0	0.400	0.915	0.965
CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0	0	0.239	0	0.400	0.940	0.970
CCL2	TNF	9606.ENSP00000225831	9606.ENSP00000398698	0	0	0	0	0.311	0	0.400	0.952	0.978
CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0	0.517	0	0.400	0.953	0.985
CCL2	RELA	9606.ENSP00000225831	9606.ENSP00000384273	0	0	0	0	0.113	0.510	0.900	0.745	0.987
CCL2	CXCL8	9606.ENSP00000225831	9606.ENSP00000306512	0	0	0	0	0.487	0.994	0.400	0.948	0.999
CCNA2	CDK4	9606.ENSP00000481380	9606.ENSP00000257904	0	0.002	0	0	0.348	0.995	0	0.995	0.999
CCNA2	CDK2	9606.ENSP00000481380	9606.ENSP00000266970	0	0.003	0	0	0.453	0.999	0.900	0.999	0.999
CCNA2	RB1	9606.ENSP00000481380	9606.ENSP00000267163	0	0	0	0	0.162	0.847	0.900	0.911	0.998
CCNA2	TP53	9606.ENSP00000481380	9606.ENSP00000269305	0	0	0	0	0.099	0.292	0.500	0.994	0.997
CCNA2	E2F1	9606.ENSP00000481380	9606.ENSP00000345571	0	0	0	0	0.244	0.813	0.900	0.989	0.999
CCNA2	PCNA	9606.ENSP00000481380	9606.ENSP00000368458	0	0	0	0	0.447	0.794	0	0.398	0.925
CCNA2	CDKN1A	9606.ENSP00000481380	9606.ENSP00000384849	0	0	0	0	0	0.924	0.900	0.995	0.999
CCND1	MDM2	9606.ENSP00000227507	9606.ENSP00000258149	0	0	0	0	0.055	0.292	0	0.898	0.926
CCND1	E2F1	9606.ENSP00000227507	9606.ENSP00000345571	0	0	0	0	0.062	0.068	0.500	0.876	0.938
CCND1	FOS	9606.ENSP00000227507	9606.ENSP00000306245	0	0	0	0	0.055	0.469	0.500	0.799	0.942
CCND1	TP53	9606.ENSP00000227507	9606.ENSP00000269305	0	0	0	0	0	0.292	0	0.928	0.946
CCND1	MYC	9606.ENSP00000227507	9606.ENSP00000478887	0	0	0	0	0.067	0	0.400	0.950	0.969
CCND1	CTNNB1	9606.ENSP00000227507	9606.ENSP00000495360	0	0	0	0	0.073	0.300	0.500	0.926	0.972
CCND1	STAT3	9606.ENSP00000227507	9606.ENSP00000264657	0	0	0	0	0.054	0.644	0.500	0.898	0.980
CCND1	GSK3B	9606.ENSP00000227507	9606.ENSP00000324806	0	0	0	0	0	0.409	0.900	0.803	0.987
CCND1	PCNA	9606.ENSP00000227507	9606.ENSP00000368458	0	0	0	0	0.049	0.841	0.900	0.373	0.989
CCND1	ESR1	9606.ENSP00000227507	9606.ENSP00000405330	0	0	0	0	0.069	0.625	0.750	0.971	0.997
CCND1	RB1	9606.ENSP00000227507	9606.ENSP00000267163	0	0	0	0	0	0.932	0.900	0.831	0.998
CCND1	CDK2	9606.ENSP00000227507	9606.ENSP00000266970	0	0	0	0	0.135	0.901	0.800	0.998	0.999
CCND1	CDK4	9606.ENSP00000227507	9606.ENSP00000257904	0	0	0	0	0.131	0.999	0.900	0.999	0.999
CCND1	CDKN1A	9606.ENSP00000227507	9606.ENSP00000384849	0	0	0	0	0.118	0.996	0.900	0.995	0.999
CD40LG	IFNG	9606.ENSP00000359663	9606.ENSP00000229135	0	0	0	0	0.140	0	0	0.909	0.919
CD40LG	IL4	9606.ENSP00000359663	9606.ENSP00000231449	0	0	0	0	0.088	0	0	0.910	0.914
CD40LG	TNF	9606.ENSP00000359663	9606.ENSP00000398698	0	0	0	0	0.118	0	0.500	0.880	0.942
CDK2	CDK4	9606.ENSP00000266970	9606.ENSP00000257904	0	0	0.084	0.908	0.138	0	0.900	0.983	0.998
CDK2	PCNA	9606.ENSP00000266970	9606.ENSP00000368458	0	0	0	0	0.406	0.876	0	0.390	0.951
CDK2	MYC	9606.ENSP00000266970	9606.ENSP00000478887	0	0	0	0	0.114	0.327	0.500	0.884	0.960
CDK2	TP53	9606.ENSP00000266970	9606.ENSP00000269305	0	0	0	0	0.093	0.778	0.500	0.891	0.987
CDK2	E2F1	9606.ENSP00000266970	9606.ENSP00000345571	0	0	0	0	0.164	0.796	0.900	0.873	0.997
CDK2	RB1	9606.ENSP00000266970	9606.ENSP00000267163	0	0	0	0	0.095	0.991	0.900	0.821	0.999
CDK2	CDKN1A	9606.ENSP00000266970	9606.ENSP00000384849	0	0	0	0	0.085	0.994	0.900	0.999	0.999
CDK4	E2F1	9606.ENSP00000257904	9606.ENSP00000345571	0	0	0	0	0.110	0.091	0.500	0.908	0.958
CDK4	MYC	9606.ENSP00000257904	9606.ENSP00000478887	0	0	0	0	0.100	0.642	0	0.904	0.966
CDK4	TP53	9606.ENSP00000257904	9606.ENSP00000269305	0	0	0	0	0.117	0.554	0	0.922	0.966
CDK4	PCNA	9606.ENSP00000257904	9606.ENSP00000368458	0	0	0	0	0.387	0.791	0.900	0.781	0.996
CDK4	HSP90AA1	9606.ENSP00000257904	9606.ENSP00000335153	0	0	0	0	0.100	0.861	0	0.989	0.998
CDK4	RB1	9606.ENSP00000257904	9606.ENSP00000267163	0	0	0	0	0.077	0.994	0.900	0.984	0.999
CDK4	CDKN1A	9606.ENSP00000257904	9606.ENSP00000384849	0	0	0	0	0.103	0.999	0.900	0.998	0.999
CDKN1A	MDM2	9606.ENSP00000384849	9606.ENSP00000258149	0	0	0	0	0.072	0.848	0	0.873	0.980
CDKN1A	STAT3	9606.ENSP00000384849	9606.ENSP00000264657	0	0	0	0	0.125	0.828	0.500	0.815	0.984
CDKN1A	TP53	9606.ENSP00000384849	9606.ENSP00000269305	0	0	0	0	0	0.925	0.900	0.960	0.999
CDKN1A	HSP90AA1	9606.ENSP00000384849	9606.ENSP00000335153	0	0	0	0	0.078	0.292	0.500	0.756	0.909
CDKN1A	E2F1	9606.ENSP00000384849	9606.ENSP00000345571	0	0	0	0	0	0.226	0.500	0.947	0.977
CDKN1A	PCNA	9606.ENSP00000384849	9606.ENSP00000368458	0	0	0	0	0.104	0.999	0.900	0.249	0.999
CDKN1A	MYC	9606.ENSP00000384849	9606.ENSP00000478887	0	0	0	0	0.105	0.320	0.500	0.945	0.981
CES1	MPO	9606.ENSP00000353720	9606.ENSP00000225275	0	0	0	0	0.054	0.045	0.900	0.406	0.939
CES1	CYP3A4	9606.ENSP00000353720	9606.ENSP00000498939	0	0.029	0	0	0.055	0	0.900	0.591	0.958
CHUK	NFKBIA	9606.ENSP00000359424	9606.ENSP00000216797	0	0	0	0	0	0.994	0.900	0.972	0.999
CHUK	TP53	9606.ENSP00000359424	9606.ENSP00000269305	0	0	0	0	0.058	0.345	0.500	0.756	0.914
CHUK	HSP90AA1	9606.ENSP00000359424	9606.ENSP00000335153	0	0	0	0	0.090	0.704	0	0.972	0.992
CHUK	RELA	9606.ENSP00000359424	9606.ENSP00000384273	0	0	0	0	0.057	0.880	0.900	0.968	0.999
CHUK	TNF	9606.ENSP00000359424	9606.ENSP00000398698	0	0	0	0	0.067	0.994	0.500	0.837	0.999
CHUK	IKBKB	9606.ENSP00000359424	9606.ENSP00000430684	0	0	0.068	0.941	0.060	0.994	0.900	0.983	0.999
COL1A1	RUNX2	9606.ENSP00000225964	9606.ENSP00000360493	0	0	0	0	0.061	0	0.750	0.826	0.955
COL1A1	COL3A1	9606.ENSP00000225964	9606.ENSP00000304408	0	0	0.065	0.950	0.958	0	0.900	0.965	0.999
CTNNB1	KDR	9606.ENSP00000495360	9606.ENSP00000263923	0	0	0	0	0.095	0	0.800	0.981	0.996
CTNNB1	TP53	9606.ENSP00000495360	9606.ENSP00000269305	0	0	0	0	0.049	0	0	0.927	0.927
CTNNB1	EGFR	9606.ENSP00000495360	9606.ENSP00000275493	0	0	0	0	0.064	0.718	0.900	0.940	0.998
CTNNB1	PPARG	9606.ENSP00000495360	9606.ENSP00000287820	0	0	0	0	0.052	0.735	0	0.980	0.994
CTNNB1	MET	9606.ENSP00000495360	9606.ENSP00000317272	0	0	0	0	0.042	0.364	0.900	0.792	0.985
CTNNB1	GSK3B	9606.ENSP00000495360	9606.ENSP00000324806	0	0	0	0	0.054	0.991	0.900	0.999	0.999
CTNNB1	RELA	9606.ENSP00000495360	9606.ENSP00000384273	0	0	0	0	0.044	0.535	0	0.835	0.920
CTNNB1	ESR1	9606.ENSP00000495360	9606.ENSP00000405330	0	0	0	0	0.052	0.301	0	0.952	0.965
CTNNB1	HIF1A	9606.ENSP00000495360	9606.ENSP00000437955	0	0	0	0	0.260	0.785	0	0.989	0.998
CTNNB1	MYC	9606.ENSP00000495360	9606.ENSP00000478887	0	0	0	0	0.058	0.567	0.500	0.937	0.985
CXCL10	IFNG	9606.ENSP00000305651	9606.ENSP00000229135	0	0	0	0	0.321	0	0	0.942	0.959
CXCL10	IL1A	9606.ENSP00000305651	9606.ENSP00000263339	0	0	0	0	0.146	0	0.400	0.925	0.958
CXCL10	IL1B	9606.ENSP00000305651	9606.ENSP00000263341	0	0	0	0	0.229	0	0.400	0.925	0.962
CXCL10	STAT1	9606.ENSP00000305651	9606.ENSP00000354394	0	0	0	0	0.557	0	0	0.890	0.949
CXCL10	IL6	9606.ENSP00000305651	9606.ENSP00000385675	0	0	0	0	0.203	0	0.400	0.923	0.960
CXCL10	IL10	9606.ENSP00000305651	9606.ENSP00000412237	0	0	0	0	0.225	0	0.400	0.925	0.962
CXCL10	CXCL2	9606.ENSP00000305651	9606.ENSP00000427279	0	0	0	0	0.172	0	0.500	0.922	0.965
CXCL10	TNF	9606.ENSP00000305651	9606.ENSP00000398698	0	0	0	0	0.265	0	0.400	0.930	0.966
CXCL10	CXCL8	9606.ENSP00000305651	9606.ENSP00000306512	0	0	0	0	0.124	0	0.500	0.948	0.975
CXCL10	CXCL11	9606.ENSP00000305651	9606.ENSP00000306884	0	0	0	0.811	0.824	0.994	0.900	0.467	0.999
CXCL11	CXCL8	9606.ENSP00000306884	9606.ENSP00000306512	0	0	0	0	0.083	0	0.500	0.893	0.946
CXCL11	CXCL2	9606.ENSP00000306884	9606.ENSP00000427279	0	0	0	0	0.107	0.994	0.500	0.893	0.999
CXCL2	IL1A	9606.ENSP00000427279	9606.ENSP00000263339	0	0	0	0	0.328	0	0.400	0.870	0.943
CXCL2	IL1B	9606.ENSP00000427279	9606.ENSP00000263341	0	0	0	0	0.522	0	0.400	0.898	0.968
CXCL2	CXCL8	9606.ENSP00000427279	9606.ENSP00000306512	0	0	0.062	0.870	0.794	0	0.400	0.866	0.982
